"","DGS_1","DGS_2","DGS_3","DGS_4","DGS_5","DGS_6","DGS_7","DGS_8","DGS_9","DGS_10","DGS_11","DGS_12","DGS_13","DGS_14","DGS_15","DGS_16","DGS_17","DGS_18","DGS_19","DGS_20","DGS_21","DGS_22","DGS_23","DGS_24","DGS_25","DGS_26","DGS_27","DGS_28","DGS_29","DGS_30","DGS_32","DGS_33","DGS_34","DGS_35","DGS_36","DGS_37","DGS_38","DGS_39","DGS_40","DGS_41","DGS_42","DGS_43","DGS_44","DGS_45","DGS_46","DGS_47","DGS_48","DGS_49","DGS_50","DGS_51","DGS_52","DGS_54","DGS_55","DGS_56","DGS_57","DGS_58","DGS_59","DGS_60","DGS_61","DGS_62","DGS_63","DGS_64","DGS_65","DGS_66","DGS_67","DGS_68","DGS_69","DGS_70","DGS_71","DGS_72","DGS_73","DGS_74","DGS_75"
"90",1,2,5,5,3,2,1,5,2,6,1,4,2,2,5,3,5,2,5,2,2,3,7,1,3,3,2,1,1,5,7,6,6,1,5,5,1,1,3,6,3,5,2,3,3,3,1,2,7,2,1,6,1,1,5,6,2,3,5,5,6,1,1,3,2,2,5,2,1,5,2,6,3
"91",4,4,3,5,5,6,4,5,4,4,4,6,4,4,5,3,5,3,6,5,3,1,3,5,4,6,5,6,5,5,5,4,5,5,6,6,4,4,7,1,4,5,3,5,3,4,5,5,4,5,4,5,2,5,6,6,2,4,3,4,5,4,5,5,6,5,7,4,4,5,5,4,3
"92",6,2,4,2,5,3,4,5,4,7,2,6,6,4,6,5,4,6,4,1,6,4,7,4,6,7,5,1,4,6,6,6,4,1,4,4,3,2,4,7,6,5,6,3,6,7,1,6,6,7,4,7,4,5,6,6,4,5,6,4,6,4,6,5,2,1,7,2,3,6,2,6,6
"93",6,3,4,5,5,5,4,5,6,6,3,5,5,3,5,4,5,5,5,3,5,5,2,4,4,6,4,5,5,5,6,5,4,5,5,5,4,3,6,4,3,6,6,5,6,5,3,4,4,5,6,6,5,5,6,6,3,6,6,5,5,4,5,6,6,5,6,5,4,5,4,5,5
"94",4,4,4,5,4,3,5,4,4,4,4,5,3,4,6,4,5,4,4,3,4,5,4,4,4,4,5,3,5,5,5,5,5,4,4,5,2,4,4,5,5,4,4,4,4,4,5,5,4,5,5,5,4,5,5,5,3,4,5,3,5,4,4,4,4,2,5,4,3,4,3,5,5
"96",3,6,7,6,6,5,6,7,6,7,7,6,6,3,7,2,6,6,6,6,3,6,2,1,5,6,6,6,6,6,7,7,6,6,6,6,1,3,3,7,2,6,6,6,6,7,6,6,2,6,6,6,6,6,7,6,7,6,7,2,6,6,5,6,4,6,7,2,1,2,7,7,6
"97",3,5,5,5,5,3,5,3,2,6,6,6,3,4,5,3,5,5,5,6,3,5,2,5,2,6,5,2,5,5,1,6,3,5,5,5,6,2,5,5,3,3,3,5,2,5,2,5,3,5,6,5,5,5,5,6,2,5,5,3,6,2,5,6,6,5,6,3,2,6,2,6,5
"98",6,6,7,5,7,4,7,6,5,7,4,6,4,5,6,6,6,6,6,5,7,6,5,4,6,7,6,5,4,6,7,7,4,5,6,5,6,5,6,7,6,2,7,6,6,7,4,7,3,6,4,6,6,6,7,7,6,6,6,4,7,5,5,5,6,4,6,3,5,2,2,6,5
"100",2,1,2,2,4,3,1,2,1,5,1,1,1,1,6,6,1,2,3,3,1,6,6,3,3,5,4,3,1,5,2,2,3,1,4,3,4,1,3,4,6,1,4,2,2,7,1,2,6,3,2,4,7,3,3,1,2,1,3,5,3,2,3,2,2,2,6,4,3,7,1,3,4
"101",4,4,5,5,5,4,5,4,5,5,3,5,4,3,5,3,5,5,4,2,2,5,5,4,4,5,5,2,6,5,5,6,6,4,5,5,3,4,5,5,4,5,4,6,5,5,3,5,3,3,6,6,5,5,5,5,3,6,5,4,5,3,3,5,6,3,5,5,4,4,6,6,4
"102",3,1,3,2,1,2,4,6,3,6,6,5,5,4,4,2,5,5,3,6,6,5,6,2,5,5,2,2,4,4,5,5,3,2,5,6,3,2,3,5,2,4,6,2,5,4,2,5,3,6,2,6,7,5,5,6,5,5,5,7,5,2,6,3,5,3,3,2,6,3,2,4,2
"103",2,3,7,5,6,5,7,6,6,7,6,5,2,4,6,5,7,5,4,1,4,5,5,4,5,6,6,2,3,5,6,5,7,4,5,5,3,3,6,6,6,5,5,4,5,6,3,6,2,6,2,6,6,5,7,5,4,6,5,3,5,5,6,6,4,1,7,4,3,7,2,7,5
"104",3,1,6,6,5,1,4,4,5,7,1,2,5,1,6,7,5,3,4,1,3,4,7,2,4,4,1,1,1,7,6,6,5,1,4,4,2,1,4,6,6,5,6,4,5,4,2,3,4,2,1,7,5,2,7,7,1,4,5,4,6,1,2,3,4,1,6,1,2,7,1,7,3
"105",3,3,3,6,3,6,5,1,3,2,3,5,2,3,6,3,5,5,6,5,2,6,3,3,6,2,7,5,5,5,5,6,7,6,5,7,2,6,6,5,6,5,3,3,5,2,5,5,1,2,5,2,6,7,6,6,5,7,5,5,6,5,2,3,6,5,3,3,2,2,1,6,6
"106",2,3,4,6,6,3,5,6,5,6,2,6,3,5,5,2,6,5,4,2,4,6,2,6,5,6,5,4,5,5,5,6,6,5,6,6,2,2,5,4,3,6,6,2,5,3,3,5,3,6,5,7,6,5,6,6,2,5,5,2,5,5,5,3,5,5,6,1,3,5,2,5,5
"107",2,3,5,5,2,5,7,5,4,5,2,3,2,5,6,4,6,5,3,4,3,3,5,3,6,2,3,6,4,6,6,6,5,3,5,6,2,5,5,5,4,6,3,2,5,5,6,3,2,5,5,2,6,6,3,6,3,6,3,4,6,5,5,2,7,3,2,2,3,4,2,6,5
"108",4,4,4,3,6,4,5,5,4,4,4,4,2,3,3,4,5,5,4,4,5,4,4,3,5,6,3,3,5,3,3,5,5,5,5,4,2,4,5,3,5,4,3,5,3,5,3,3,3,4,5,5,5,5,5,6,3,4,4,4,3,5,5,4,5,3,5,5,2,4,3,2,3
"109",6,4,4,4,5,2,4,5,6,5,7,6,5,5,5,4,2,5,2,5,4,3,6,5,3,4,2,5,3,2,5,3,6,3,7,6,5,4,5,6,5,6,2,2,3,2,4,4,6,4,6,4,2,6,4,3,1,3,3,4,4,4,2,6,7,3,4,2,3,3,1,5,3
"110",5,3,3,5,5,3,3,5,5,6,1,5,5,5,6,3,5,5,5,3,5,6,6,3,5,5,3,2,5,5,6,6,6,2,5,5,1,1,5,5,6,6,7,3,5,5,2,5,5,5,5,6,5,5,5,6,3,5,5,3,6,3,5,5,5,1,5,3,2,6,3,5,6
"111",7,7,7,7,7,5,1,7,7,7,6,7,7,6,7,1,7,6,7,2,7,7,7,4,4,7,6,1,2,6,7,7,7,1,7,4,4,4,4,7,7,1,7,7,7,7,4,5,7,7,2,6,7,7,7,7,4,7,7,7,7,6,7,7,7,1,7,7,4,7,4,7,7
"112",3,2,6,4,5,2,4,5,5,5,2,6,3,3,4,4,6,5,5,5,5,5,3,5,5,4,3,2,5,5,6,6,4,2,6,5,1,5,5,3,5,4,6,5,6,3,2,4,3,5,4,6,6,5,6,6,4,5,6,3,6,3,3,5,4,3,4,3,3,4,2,6,5
"113",4,2,3,4,4,5,5,2,3,3,3,5,6,2,5,3,7,7,6,5,6,6,2,5,4,5,6,5,4,6,7,4,6,5,4,3,7,4,4,3,4,6,3,3,3,2,2,4,4,2,4,5,3,3,4,5,4,3,5,3,5,4,4,3,5,5,3,5,5,2,6,2,4
"114",4,6,7,6,5,4,5,6,5,7,6,7,4,4,6,2,7,5,6,5,5,7,3,5,5,7,4,6,6,7,7,7,7,4,7,4,1,5,5,4,4,4,7,6,7,6,4,7,2,7,4,6,7,7,7,7,6,7,5,3,7,5,7,5,7,6,7,3,1,6,3,7,7
"115",4,2,3,4,5,1,3,4,7,6,3,6,2,2,6,3,5,6,4,6,5,3,5,2,5,6,6,2,5,4,7,6,3,3,6,5,4,4,3,6,5,5,7,3,7,5,1,4,3,7,6,6,7,4,5,5,3,4,5,6,7,4,4,3,5,1,4,5,6,3,6,4,5
"116",3,2,4,5,4,2,4,4,5,4,3,4,3,2,4,4,5,4,4,2,3,4,3,2,5,5,4,5,4,5,4,5,5,3,5,4,3,1,6,5,5,5,4,4,4,3,2,4,4,5,6,7,5,5,5,6,4,4,5,3,5,5,3,3,4,5,3,3,4,6,3,4,5
"117",2,2,6,3,2,2,5,6,5,3,2,5,2,3,5,6,6,5,5,3,3,7,2,3,5,3,3,2,2,6,6,6,5,5,5,5,1,2,3,6,5,5,5,3,4,4,3,6,4,3,3,5,5,5,6,5,3,5,6,3,5,5,3,3,2,3,5,2,2,3,2,7,5
"118",2,5,7,3,6,2,6,6,4,6,2,4,5,6,7,3,5,4,6,5,5,6,3,5,4,5,5,5,3,6,6,6,6,2,6,6,2,2,7,5,2,7,6,7,6,4,2,5,3,3,2,7,3,5,6,7,4,5,6,2,7,6,2,2,4,2,6,3,2,7,6,7,4
"119",4,5,4,4,4,3,2,4,4,4,4,4,5,3,5,3,4,4,4,3,4,5,4,3,5,4,4,4,3,4,5,5,4,4,4,4,4,4,4,4,4,4,5,4,4,4,4,4,4,4,4,5,4,4,4,5,3,4,4,4,5,4,4,4,4,4,4,4,4,4,4,4,4
"120",5,2,7,5,6,3,3,5,6,6,2,6,3,2,6,4,6,5,5,3,5,4,2,3,5,6,5,2,6,5,6,6,6,5,6,5,3,3,6,6,3,6,6,3,6,6,2,5,6,5,6,6,5,5,6,6,3,5,5,5,6,3,5,3,4,5,6,3,3,2,2,5,5
"121",5,2,5,6,6,3,5,7,6,6,2,5,3,3,4,2,6,5,6,4,5,6,4,3,5,6,5,3,2,5,6,7,6,4,4,4,2,3,4,5,5,6,4,4,4,6,6,6,6,6,4,6,5,6,5,6,4,6,5,4,6,4,5,3,4,2,6,2,2,3,1,4,7
"122",6,3,6,6,3,2,2,2,6,3,2,5,5,2,5,2,5,6,6,2,5,6,4,2,5,3,2,1,2,5,6,6,6,2,2,6,2,2,6,5,5,5,6,2,2,5,1,6,3,6,5,3,4,5,5,5,5,6,5,3,7,4,6,3,5,2,5,1,1,3,2,6,5
"123",1,4,7,7,6,3,4,6,6,7,1,7,3,1,6,1,6,5,5,6,1,6,6,6,1,6,3,2,6,5,4,6,7,2,4,4,1,2,6,7,6,5,6,7,6,6,2,5,3,6,3,7,4,6,7,7,2,4,5,7,5,3,1,3,7,5,7,2,1,6,1,7,7
"124",6,6,6,6,7,5,5,6,7,7,5,6,6,4,6,5,5,6,5,2,6,5,7,5,4,6,5,2,5,6,6,6,7,4,7,5,2,4,7,7,3,6,7,7,7,3,4,3,6,6,4,7,6,5,6,7,2,6,6,4,7,4,5,6,7,3,7,4,2,5,6,6,6
"125",6,5,6,5,7,3,6,6,6,6,3,6,5,3,6,2,7,6,6,4,6,6,5,4,6,6,5,2,6,6,6,6,6,3,7,6,2,6,4,6,5,6,6,6,6,6,4,6,5,6,6,6,3,6,6,7,5,7,7,4,7,3,5,6,6,2,7,5,2,5,7,7,6
"126",6,3,5,5,6,4,4,6,6,7,3,6,3,7,6,6,4,5,5,5,3,5,2,5,6,6,5,3,5,5,5,6,6,4,6,6,4,3,6,6,3,3,5,7,6,5,3,4,3,6,5,7,6,4,6,6,5,5,6,2,6,4,3,3,6,5,6,5,4,7,2,6,5
"127",5,3,6,5,5,2,3,6,6,6,3,5,5,4,6,2,5,5,5,2,5,6,5,3,3,5,3,2,3,3,6,5,6,2,6,5,2,2,3,5,6,5,5,6,5,5,2,6,6,6,3,7,2,3,5,5,3,5,2,5,5,3,5,2,3,2,5,3,2,6,2,5,5
"128",2,2,4,5,5,1,1,3,4,6,2,5,1,1,5,2,5,3,3,1,2,5,3,1,4,6,2,1,2,3,2,5,6,1,4,4,1,1,5,5,2,4,7,1,2,6,1,3,2,5,1,7,1,4,4,6,1,2,4,1,7,3,2,3,1,1,6,1,1,4,1,6,4
"129",4,2,7,6,7,5,3,7,7,7,5,7,6,7,7,6,7,7,5,5,6,6,7,4,7,7,6,1,4,7,7,7,7,2,7,7,4,3,5,7,7,7,7,6,7,7,2,5,6,7,4,6,6,7,7,6,4,7,7,6,6,7,3,6,6,3,7,6,4,7,6,7,5
"130",3,3,3,5,3,1,3,4,4,5,4,6,2,1,4,2,4,3,4,2,5,6,5,1,5,5,3,1,2,3,3,4,5,3,4,6,1,1,4,5,4,4,5,4,3,3,1,3,5,2,3,6,4,3,5,6,2,4,4,3,6,2,5,5,5,1,5,3,2,4,2,5,4
"131",4,3,4,5,5,2,3,5,5,5,5,4,3,2,5,3,5,5,5,3,4,3,4,3,3,5,5,2,3,4,5,6,6,2,3,3,2,2,6,3,5,4,5,5,3,5,2,3,6,5,3,5,3,3,5,6,2,3,3,4,5,2,4,3,4,2,6,5,2,4,2,5,4
"132",2,6,7,7,5,2,6,2,3,6,6,7,7,2,6,3,7,6,5,6,7,5,6,2,6,7,7,1,5,7,7,7,6,4,6,4,1,4,5,4,6,1,7,7,7,7,1,4,1,7,5,7,7,5,7,7,6,6,7,7,7,1,2,3,7,5,6,1,1,4,1,7,4
"133",5,4,5,6,5,4,5,5,5,6,5,6,3,3,7,4,5,6,4,1,6,5,5,3,5,6,5,2,5,5,5,6,5,1,6,5,2,5,1,6,4,6,7,4,5,7,2,5,3,3,3,4,3,5,6,5,2,5,5,6,7,4,6,3,5,2,6,3,3,5,1,7,5
"134",5,5,5,2,2,4,6,3,3,1,5,5,4,2,2,5,2,4,6,3,3,4,5,5,5,7,6,6,4,3,4,5,6,4,2,3,3,3,5,4,3,3,4,5,5,2,4,7,2,4,6,4,5,4,3,4,5,2,3,3,6,6,5,4,4,6,7,3,6,4,1,4,5
"135",4,3,6,3,5,3,6,6,7,7,2,6,7,4,6,3,5,7,5,5,7,6,5,6,6,7,6,3,7,7,7,7,7,2,7,5,4,4,4,5,7,6,7,4,6,4,2,5,7,6,6,7,5,5,7,6,4,6,7,4,7,4,7,4,6,5,7,7,2,7,2,7,6
"136",6,3,6,5,6,2,5,6,6,7,3,6,6,2,6,3,7,4,5,3,5,6,6,3,3,6,6,5,6,5,5,6,6,5,5,5,1,3,4,6,7,7,7,5,5,6,3,5,6,6,5,6,3,6,6,6,3,5,6,4,6,2,5,5,5,6,7,3,1,6,3,6,6
"137",3,6,7,7,3,2,1,5,5,7,6,7,1,3,7,4,5,2,4,1,1,4,7,1,1,7,7,1,7,5,7,6,5,1,5,1,1,2,4,7,7,6,2,4,7,7,5,1,4,1,7,7,6,4,7,7,6,1,7,1,5,2,1,6,7,1,3,1,1,4,1,5,5
"138",6,4,4,5,5,4,4,5,7,5,2,5,4,2,4,3,4,5,6,4,5,5,5,4,4,4,5,2,5,6,4,5,5,4,6,4,3,3,4,4,4,4,6,4,5,6,3,6,4,7,4,4,4,4,6,5,2,5,5,4,6,2,5,4,4,2,4,3,4,4,4,7,4
"139",4,5,7,5,6,3,3,6,5,5,4,6,5,5,6,4,5,5,5,2,4,6,5,6,6,5,4,2,5,6,6,5,7,5,4,5,1,1,5,3,5,2,4,3,2,6,3,4,2,5,5,6,6,5,6,6,2,4,5,2,6,5,3,5,2,3,6,2,3,4,2,5,5
"141",3,2,2,3,3,2,2,3,5,4,2,5,2,2,3,5,3,3,4,3,3,5,5,1,3,4,3,2,2,3,3,3,5,2,3,2,1,2,4,4,3,4,3,3,3,3,2,2,6,3,2,3,5,3,5,5,2,5,3,2,5,2,2,2,2,1,5,3,2,3,2,3,2
"142",3,3,6,2,3,3,4,4,6,5,4,2,3,5,5,3,4,4,3,4,4,4,3,5,4,7,4,2,4,4,5,5,4,4,5,5,4,3,3,4,3,5,4,4,4,5,3,4,3,5,3,4,4,4,5,3,5,5,4,4,5,4,3,3,5,5,4,3,5,4,4,4,4
"143",5,3,5,4,5,3,4,4,5,5,3,5,3,4,4,3,5,4,4,5,3,5,3,4,4,3,5,5,4,4,5,5,6,4,4,5,3,3,4,5,4,5,4,3,5,5,3,4,4,6,6,6,4,4,5,5,5,5,4,3,5,3,3,3,3,5,4,3,2,5,3,5,5
"144",5,5,7,4,5,4,5,6,6,7,6,6,3,3,6,4,7,6,6,5,5,5,7,5,4,6,6,4,6,7,7,6,6,5,6,4,4,5,4,7,6,4,6,6,6,6,5,5,6,5,5,5,7,5,7,7,5,6,6,6,7,6,4,4,6,5,7,6,4,5,4,7,5
"145",4,1,4,7,5,2,1,5,5,7,1,7,3,3,6,2,5,3,1,4,3,6,3,1,2,7,4,1,4,1,5,5,6,1,7,5,1,1,4,6,2,4,6,1,5,6,1,1,4,7,5,6,5,3,6,5,2,5,5,1,6,4,1,6,4,1,6,3,1,4,1,7,6
"146",3,1,5,3,4,3,3,5,5,6,1,4,3,3,6,2,5,5,4,3,5,4,4,1,5,5,3,1,4,4,5,5,5,2,4,3,1,1,4,6,3,4,5,5,4,5,1,4,5,5,5,6,3,5,6,6,1,5,5,4,5,3,3,2,5,1,6,3,2,5,2,6,4
"147",7,5,6,4,6,3,5,6,6,6,4,5,6,6,6,4,5,5,4,4,6,4,4,5,5,6,6,4,5,6,6,6,6,4,7,5,3,2,4,6,5,5,6,4,6,6,4,5,4,6,4,7,3,6,6,6,3,6,7,4,6,5,5,7,3,4,6,3,3,5,5,5,6
"148",5,2,6,5,4,2,4,5,3,3,2,5,2,2,5,3,5,4,4,2,4,5,3,4,4,4,3,2,3,5,4,5,5,2,5,4,3,2,4,3,4,5,5,4,4,6,2,5,3,4,3,6,3,5,4,5,3,6,5,4,5,2,3,5,4,2,5,4,2,3,2,5,4
"149",3,1,1,5,2,3,1,5,6,7,1,6,2,3,5,7,5,5,2,2,3,4,6,2,4,6,5,2,6,5,4,5,7,2,6,2,2,3,5,6,5,6,7,6,6,5,1,3,4,6,6,7,1,3,7,7,4,5,5,4,5,2,2,4,7,4,6,6,3,7,1,4,2
"150",6,5,2,5,5,5,3,6,6,6,6,6,2,3,6,5,5,4,6,3,5,5,4,5,3,5,5,3,5,5,3,6,3,3,6,6,4,5,6,5,4,6,6,5,6,3,4,5,6,6,5,7,5,4,6,6,3,7,6,6,6,5,6,6,6,3,6,5,3,7,3,6,5
"151",3,2,5,6,5,1,4,5,6,6,2,5,3,4,6,3,5,2,5,3,6,5,6,4,3,6,6,2,5,4,5,6,5,2,5,5,1,1,4,5,3,5,6,1,6,6,4,3,5,6,5,5,5,4,5,5,2,5,5,3,6,3,5,3,1,3,7,1,1,3,3,6,6
"152",7,4,6,6,6,3,6,6,6,6,4,6,6,6,6,2,6,6,6,2,6,6,3,5,6,6,6,3,3,6,6,6,6,5,6,5,3,4,6,5,3,4,6,7,6,7,4,6,6,7,3,6,6,6,6,6,5,6,6,5,7,5,6,6,6,3,6,6,3,6,5,6,6
"153",4,3,5,6,4,3,4,6,6,7,2,6,5,6,6,2,6,5,6,2,5,6,3,4,5,5,5,3,3,6,6,6,5,5,5,5,1,3,4,7,5,5,6,7,6,5,3,4,4,5,4,6,6,6,6,6,4,5,6,2,7,6,6,5,6,3,6,2,3,6,3,6,6
"154",3,3,6,5,7,3,1,1,2,6,2,6,1,1,3,7,2,3,2,1,4,6,6,1,5,4,3,3,2,5,5,3,5,3,6,5,2,1,1,6,4,2,4,6,3,7,3,5,3,6,2,7,5,4,5,5,3,1,6,6,3,3,3,3,6,1,3,7,5,5,2,3,4
"155",5,4,5,5,4,3,3,5,4,4,4,5,4,3,5,3,5,4,5,3,4,5,5,4,4,4,4,3,3,4,5,5,5,4,5,3,3,3,5,5,5,5,4,3,4,4,4,4,4,4,4,6,4,3,5,5,3,5,5,3,5,3,3,3,4,3,4,3,3,4,3,5,4
"156",7,4,4,4,7,1,6,7,7,7,3,6,3,7,6,2,6,7,5,4,1,6,7,1,4,7,6,1,5,5,6,6,7,1,5,5,1,2,6,7,5,6,7,7,6,7,1,6,7,7,5,7,6,6,7,7,1,7,6,2,6,1,3,7,7,1,7,7,2,7,7,7,6
"157",5,5,5,5,5,4,4,5,5,2,2,5,4,3,5,4,5,5,5,3,6,5,3,3,7,6,6,2,7,6,5,6,5,3,6,6,4,5,4,4,4,5,6,6,5,6,3,4,3,6,5,5,7,4,5,5,4,5,5,4,5,3,4,5,6,2,4,5,5,4,4,6,5
"158",3,3,5,5,5,2,3,4,5,5,3,5,5,3,6,5,5,5,5,3,6,5,5,3,4,5,4,2,4,4,5,5,5,2,4,4,1,2,6,3,5,4,6,2,3,6,2,4,4,6,5,6,2,4,5,5,5,6,6,4,6,4,3,5,5,2,6,2,1,5,5,5,4
"159",6,3,6,2,5,2,2,6,5,6,3,2,5,3,5,3,5,3,2,2,6,4,6,4,3,5,2,5,2,3,3,5,6,5,3,2,3,2,2,5,5,6,6,6,3,5,2,2,6,2,2,6,3,2,5,6,2,3,5,5,5,3,6,3,3,2,6,3,2,7,5,6,3
"160",6,5,5,4,6,2,4,6,4,6,6,5,6,3,5,2,6,5,5,2,6,5,6,3,5,6,3,2,2,6,5,6,6,2,5,3,2,2,5,6,6,6,6,6,3,6,3,3,6,6,3,6,6,4,5,6,2,5,6,4,6,3,5,6,5,2,6,3,2,6,5,6,5
"161",6,4,6,4,6,3,5,7,7,7,5,7,5,5,5,1,5,7,7,5,3,7,6,4,5,6,5,2,7,5,5,7,5,4,5,5,2,7,5,7,5,6,6,5,7,6,4,7,7,6,5,6,5,5,7,6,4,7,5,3,6,4,5,6,5,3,6,4,4,7,2,6,5
"162",6,3,2,6,5,5,6,6,6,6,3,6,5,3,5,3,6,5,6,6,5,6,5,5,5,3,7,6,6,5,6,6,6,6,6,6,2,6,6,6,5,5,6,7,6,6,6,6,2,6,6,6,6,6,7,6,6,6,5,3,6,6,6,6,6,5,6,5,5,5,3,6,6
"163",3,2,2,6,6,3,3,5,6,6,6,5,3,3,6,3,5,4,5,5,2,6,6,3,5,6,6,6,6,5,6,5,6,3,5,6,1,3,6,5,5,4,3,2,6,5,2,5,3,6,6,7,3,5,5,5,3,5,6,2,5,5,1,2,3,2,6,6,2,6,2,6,5
"164",5,2,7,4,6,5,5,6,6,7,2,6,2,5,6,2,6,6,6,3,3,6,6,4,4,6,6,5,5,6,6,6,5,3,6,6,3,5,6,6,6,7,6,6,6,6,2,6,5,6,3,7,6,6,6,6,6,6,5,4,4,6,3,6,5,3,6,3,3,6,2,6,6
"165",7,1,7,7,7,6,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,1,7,7,4,7,7,7,4,1,7,7,7,7,1,7,1,7,4,7,7,7,7,7,7,7,7,7,7,7,7,7,7,4,7,1,4,7,6,7,4
"166",3,4,4,5,4,4,4,4,4,4,3,5,4,4,5,3,6,4,5,4,4,5,5,4,5,4,5,5,4,4,6,5,5,4,5,5,4,5,4,5,4,4,4,4,5,4,4,4,4,4,4,5,5,4,5,5,4,5,4,2,6,4,4,4,4,5,4,4,4,4,4,5,5
"167",3,6,5,6,3,2,2,5,6,6,5,6,5,3,5,2,6,3,5,5,6,5,6,5,3,6,5,3,6,3,3,6,7,3,2,3,1,1,6,7,6,5,5,3,5,7,3,2,6,7,5,6,3,2,6,6,1,3,6,5,7,2,3,3,3,2,7,2,2,7,2,6,3
"168",5,3,2,6,3,1,3,3,3,3,2,6,4,2,5,2,3,3,3,1,6,4,3,1,2,5,2,2,1,4,3,2,5,1,2,3,1,1,4,3,3,2,6,1,1,5,2,1,6,3,1,7,4,1,4,6,1,4,4,1,5,1,6,3,1,1,5,1,1,2,2,4,4
"169",7,2,5,6,5,3,5,6,1,5,2,6,5,3,5,2,4,7,4,5,1,3,3,6,6,2,2,4,2,3,6,5,6,5,6,3,2,6,6,2,6,4,4,2,4,5,5,6,6,2,7,2,2,3,6,5,6,5,2,2,2,4,2,3,3,4,5,5,6,4,1,3,4
"170",4,3,3,6,4,5,3,5,5,5,5,5,3,3,5,3,6,4,3,4,4,6,3,3,5,4,4,3,4,4,4,3,5,5,3,5,2,5,6,3,3,3,4,2,5,6,6,4,3,5,5,3,3,6,5,5,4,6,5,5,3,5,4,4,3,5,5,2,5,3,5,5,5
"171",3,2,4,3,4,4,4,4,5,5,2,5,3,2,4,1,4,5,4,2,1,5,3,2,5,4,4,4,5,5,6,5,7,3,6,3,3,3,5,6,4,6,3,7,5,4,2,4,4,5,3,7,5,4,5,7,3,4,5,4,6,3,1,2,6,3,4,4,4,3,2,4,4
"172",6,6,7,6,7,6,6,7,7,7,2,6,6,5,6,6,7,7,7,6,7,6,4,3,6,7,7,5,6,6,5,7,6,6,7,6,6,4,6,6,7,1,7,6,7,7,2,6,6,7,5,7,7,7,6,7,5,6,6,7,7,5,7,6,7,2,7,5,6,7,2,7,5
"173",2,2,6,6,4,1,2,5,2,6,1,5,3,2,5,6,3,2,1,1,1,5,6,1,2,3,1,1,1,5,5,5,3,1,1,6,2,1,5,5,6,3,2,1,2,6,1,3,3,2,2,2,7,2,6,5,2,3,5,1,3,3,1,3,2,1,1,1,2,4,3,6,6
"174",6,4,7,6,6,3,3,6,6,7,5,5,6,6,6,1,6,1,3,7,7,6,7,3,5,6,4,4,2,5,5,6,7,4,6,4,1,4,7,4,7,6,7,4,5,7,4,7,4,7,2,7,2,4,6,7,5,6,6,4,7,5,6,4,3,4,7,2,2,7,7,7,4
"175",4,5,4,5,4,4,5,3,4,5,4,4,4,4,3,4,4,5,4,4,4,5,4,4,4,4,4,4,4,3,4,4,4,4,4,4,3,4,4,3,4,5,4,4,4,4,4,4,3,4,4,4,4,4,5,5,4,5,5,5,4,4,4,3,4,4,4,3,4,4,3,4,5
"176",3,7,5,5,7,6,6,7,5,6,5,7,5,7,6,1,5,7,2,6,3,7,4,7,6,7,5,7,4,7,6,6,7,7,5,6,3,2,6,6,5,7,7,7,5,7,7,6,4,5,6,7,5,6,7,7,5,7,7,2,7,5,6,3,7,7,6,3,3,6,3,5,5
"177",4,4,5,4,5,3,4,5,4,5,5,5,5,4,5,4,6,4,4,3,3,3,4,3,4,4,3,3,3,4,5,5,4,4,5,4,4,3,4,4,5,4,4,4,4,5,4,4,4,4,4,5,4,3,5,5,4,4,5,4,4,3,4,5,3,2,5,3,5,5,3,5,4
"178",3,5,6,3,7,3,5,6,6,7,6,5,5,5,5,4,4,5,6,2,6,2,4,4,4,5,3,4,3,5,5,5,5,5,3,5,4,3,3,7,7,4,5,3,5,7,3,4,3,4,3,6,5,3,6,6,4,3,5,3,5,6,5,5,4,3,4,2,4,5,4,5,5
"179",4,5,6,5,6,2,4,6,7,6,5,6,5,6,6,2,6,5,6,5,6,3,6,5,5,6,6,5,6,6,6,6,6,5,6,6,2,2,4,7,4,5,7,2,6,6,4,4,6,6,6,7,4,6,6,7,5,5,6,6,5,4,5,6,3,4,6,3,2,6,2,6,5
"180",7,7,7,7,7,6,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,7,7,7,7,7,7,1,7,7,7,7,7,1,7,7,1,6,7,7,7,7,7,7,7,6,7,7,4,7,7,7,7,7,7,7,7,7,7,4,7,7,7,7,7,1,7,7,1,7,7,7,7
"181",6,7,6,5,7,3,4,7,7,5,5,5,1,5,5,2,5,5,6,5,4,6,7,4,5,5,5,5,4,5,5,6,6,5,6,5,4,4,5,5,6,6,7,7,7,6,4,5,3,7,5,7,5,5,6,7,6,5,6,6,6,4,2,5,7,5,5,4,4,6,1,6,5
"182",2,2,5,5,6,2,3,6,3,6,2,5,3,3,5,3,5,3,3,1,5,5,5,2,3,6,2,2,2,5,3,6,5,1,2,5,1,2,5,6,5,5,7,2,5,2,2,4,3,2,2,6,3,3,6,5,2,5,5,3,6,2,2,2,5,2,6,2,2,6,2,4,5
"183",4,2,7,5,5,4,5,7,7,7,3,5,3,4,6,1,5,4,4,6,6,4,5,4,5,7,6,3,6,6,6,6,7,3,6,4,3,3,5,5,4,6,7,7,7,6,2,4,3,7,6,7,6,4,7,7,4,5,6,4,5,5,3,4,6,3,7,6,3,6,2,7,4
